Sample_id	Sample	extraction_ID	Coral	Treatment	Tank	Settlement	Percent_settled	input	filtered	percentage.of.input.passed.filter	denoised	merged	percentage.of.input.merged	non.chimeric	percentage.of.input.non.chimeric
SE6685_S281	SE6685	311	Easp	Light_1M	MIS7C	Low	16.66666667	11300	9564	84.64	9401	9168	81.13	9161	81.07
SE6686_S112	SE6686	315	Easp	Light_1M	MIS7C	None	0	6063	5620	92.69	5393	5170	85.27	5159	85.09
SE6687_S113	SE6687	316	Easp	Light_1M	MIS7C	None	0	21122	19137	90.6	18937	18584	87.98	18564	87.89
SE6688_S114	SE6688	319	Easp	Light_1M	MIS7C	None	0	10173	9089	89.34	8931	8727	85.79	8699	85.51
SE6689_S115	SE6689	323	Easp	Light_1M	MIS7C	Low	16.66666667	15490	13891	89.68	13692	13352	86.2	13280	85.73
SE6690_S116	SE6690	435	Easp	Light_1M	MIS8C	Low	16.66666667	6913	6380	92.29	5979	5741	83.05	5741	83.05
SE6691_S117	SE6691	436	Easp	Light_1M	MIS8C	High	100	6583	5974	90.75	5657	5298	80.48	5290	80.36
SE6692_S118	SE6692	437	Easp	Light_1M	MIS8C	None	0	14124	13099	92.74	12792	12243	86.68	12243	86.68
SE6693_S119	SE6693	443	Easp	Light_1M	MIS8C	None	0	6123	5514	90.05	5223	4957	80.96	4957	80.96
SE6694_S120	SE6694	445	Easp	Light_1M	MIS8C	Low	16.66666667	9061	8368	92.35	8126	7824	86.35	7824	86.35
SE6695_S121	SE6695	446	Easp	Light_1M	MIS8C	Low	16.66666667	11586	10621	91.67	10334	9967	86.03	9947	85.85
SE6696_S122	SE6696	448	Easp	Light_1M	MIS8C	Low	16.66666667	11497	10640	92.55	10314	9986	86.86	9986	86.86
SE6697_S123	SE6697	449	Easp	Light_1M	MIS8C	None	0	4717	4345	92.11	4140	3959	83.93	3959	83.93
SE6697_S282	SE6697	449	Easp	Light_1M	MIS8C	None	0	16301	15161	93.01	14938	14422	88.47	14422	88.47
