Sample_id	Sample	extraction_ID	Coral	Treatment	Tank	Settlement	Percent_settled	input	filtered	percentage.of.input.passed.filter	denoised	merged	percentage.of.input.merged	non.chimeric	percentage.of.input.non.chimeric
SE3517_S7	SE3517	1792	Plob	Light_2M	MIS8C	Low	33.33333333	47320	44117	93.23	43125	41807	88.35	41695	88.11
SE3518_S19	SE3518	1781	Plob	Light_2M	MIS8C	Low	33.33333333	43735	40701	93.06	39700	38354	87.7	38180	87.3
SE3519_S31	SE3519	1779	Plob	Light_2M	MIS8C	High	60	52393	48802	93.15	47329	45339	86.54	44998	85.89
SE3520_S43	SE3520	1789	Plob	Light_2M	MIS8C	High	66.66666667	60394	55949	92.64	54172	52052	86.19	51623	85.48
SE3521_S55	SE3521	1799	Plob	Light_2M	MIS8C	High	66.66666667	61833	57708	93.33	55902	53263	86.14	52989	85.7
SE3522_S67	SE3522	1780	Plob	Light_2M	MIS8C	High	83.33333333	64793	60343	93.13	58794	56382	87.02	55818	86.15
SE3523_S79	SE3523	1768	Plob	Light_2M	MIS8C	High	83.33333333	50936	47508	93.27	46347	44954	88.26	44761	87.88
SE3524_S91	SE3524	1777	Plob	Light_2M	MIS8C	High	83.33333333	54578	50796	93.07	49443	47604	87.22	47331	86.72
SE3525_S8	SE3525	1791	Plob	Light_2M	MIS8C	High	100	40618	37598	92.56	36414	34857	85.82	34708	85.45
SE3526_S20	SE3526	1797	Plob	Light_2M	MIS8C	High	100	11529	10744	93.19	10205	9864	85.56	9864	85.56
SE3527_S32	SE3527	1783	Plob	Light_2M	MIS8C	High	83.33333333	34598	32405	93.66	31139	29695	85.83	29428	85.06
SE3528_S44	SE3528	1650	Plob	Tile_ctrl	ctrl	None	0	7350	6090	82.86	6030	5966	81.17	5966	81.17
SE3529_S56	SE3529	1776	Plob	Tile_ctrl	ctrl	None	0	5057	4675	92.45	4599	4533	89.64	4533	89.64
SE3530_S68	SE3530	1482	Plob	Tile_ctrl	ctrl	None	0	4810	4434	92.18	4400	4327	89.96	4327	89.96
SE3531_S80	SE3531	617	Dfav	Light_2M	MIS5C	None	0	25039	23495	93.83	22819	22091	88.23	22091	88.23
SE3532_S92	SE3532	639	Dfav	Light_2M	MIS5C	Low	28.57142857	22906	21417	93.5	20665	19793	86.41	19788	86.39
SE3533_S9	SE3533	628	Dfav	Light_2M	MIS5C	Low	16.66666667	13326	12527	94	12187	11804	88.58	11804	88.58
SE3534_S21	SE3534	616	Dfav	Light_2M	MIS5C	Low	33.33333333	23315	21859	93.76	21230	20536	88.08	20536	88.08
SE3535_S33	SE3535	631	Dfav	Light_2M	MIS5C	Low	33.33333333	63958	59752	93.42	58695	57402	89.75	57323	89.63
SE3536_S45	SE3536	619	Dfav	Light_2M	MIS5C	Low	33.33333333	43987	41104	93.45	40321	39215	89.15	39215	89.15
SE3537_S57	SE3537	622	Dfav	Light_2M	MIS5C	Low	33.33333333	23411	21756	92.93	21107	20424	87.24	20406	87.16
SE3538_S69	SE3538	625	Dfav	Light_2M	MIS5C	Low	50	53713	50409	93.85	49171	47892	89.16	47536	88.5
SE3539_S81	SE3539	627	Dfav	Light_2M	MIS5C	Low	50	41580	38842	93.42	38052	36973	88.92	36973	88.92
SE3540_S93	SE3540	635	Dfav	Light_2M	MIS5C	Low	40	36036	33776	93.73	32821	31965	88.7	31963	88.7
SE3541_S10	SE3541	646	Dfav	Light_2M	MIS5C	High	85.71428571	71984	67281	93.47	65939	64287	89.31	64172	89.15
SE3542_S22	SE3542	637	Dfav	Light_2M	MIS5C	High	83.33333333	27382	25501	93.13	24655	23633	86.31	23567	86.07
SE3543_S34	SE3543	640	Dfav	Light_2M	MIS5C	High	83.33333333	25657	23842	92.93	23120	22378	87.22	22355	87.13
SE3544_S46	SE3544	621	Dfav	Light_2M	MIS5C	High	100	14356	13223	92.11	12696	12048	83.92	12048	83.92
SE3545_S58	SE3545	614	Dfav	Light_2M	MIS5C	High	100	15945	14741	92.45	14105	13455	84.38	13455	84.38
SE3546_S70	SE3546	615	Dfav	Light_2M	MIS5C	High	100	15447	14249	92.24	13706	13180	85.32	13180	85.32
SE3547_S82	SE3547	645	Dfav	Light_2M	MIS5C	High	100	30315	28425	93.77	27508	26642	87.88	26642	87.88
SE3548_S94	SE3548	641	Dfav	Light_2M	MIS5C	High	100	33398	31180	93.36	30338	29404	88.04	29366	87.93
SE3549_S11	SE3549	634	Dfav	Light_2M	MIS5C	High	100	18597	17456	93.86	16772	16168	86.94	16168	86.94
SE3550_S23	SE3550	787	Dfav	Light_2M	MIS7C	None	0	29338	27551	93.91	26350	25230	86	24997	85.2
SE3551_S35	SE3551	760	Dfav	Light_2M	MIS7C	Low	33.33333333	30239	28208	93.28	27355	26170	86.54	26081	86.25
SE3552_S47	SE3552	771	Dfav	Light_2M	MIS7C	Low	16.66666667	26184	24551	93.76	23664	22661	86.55	22628	86.42
SE3553_S59	SE3553	767	Dfav	Light_2M	MIS7C	Low	16.66666667	10223	9551	93.43	8996	8385	82.02	8310	81.29
SE3554_S71	SE3554	776	Dfav	Light_2M	MIS7C	Low	33.33333333	35497	33046	93.1	31956	30641	86.32	30470	85.84
SE3555_S83	SE3555	772	Dfav	Light_2M	MIS7C	Low	33.33333333	29891	27527	92.09	26853	25815	86.36	25618	85.7
SE3556_S236	SE3556	766	Dfav	Light_2M	MIS7C	Low	33.33333333	5846	5384	92.1	4898	4470	76.46	4425	75.69
SE3556_S313	SE3556	766	Dfav	Light_2M	MIS7C	Low	33.33333333	36684	33604	91.6	32424	31367	85.51	31022	84.57
SE3557_S12	SE3557	785	Dfav	Light_2M	MIS7C	Low	42.85714286	21075	19605	93.02	18893	18022	85.51	17958	85.21
SE3558_S24	SE3558	781	Dfav	Light_2M	MIS7C	Low	33.33333333	7345	6762	92.06	6150	5709	77.73	5672	77.22
SE3559_S268	SE3559	764	Dfav	Light_2M	MIS7C	Low	50	90421	82553	91.3	81723	80402	88.92	80218	88.72
SE3559_S36	SE3559	764	Dfav	Light_2M	MIS7C	Low	50	4770	4348	91.15	3841	3478	72.91	3478	72.91
SE3560_S48	SE3560	791	Dfav	Light_2M	MIS7C	High	71.42857143	15686	14323	91.31	13516	12765	81.38	12688	80.89
SE3561_S60	SE3561	789	Dfav	Light_2M	MIS7C	High	66.66666667	10081	9326	92.51	8684	8109	80.44	8091	80.26
SE3562_S270	SE3562	758	Dfav	Light_2M	MIS7C	High	80	275207	251554	91.41	249566	245950	89.37	243645	88.53
SE3562_S72	SE3562	758	Dfav	Light_2M	MIS7C	High	80	2867	2611	91.07	2240	1988	69.34	1988	69.34
SE3563_S84	SE3563	761	Dfav	Light_2M	MIS7C	High	80	8963	8222	91.73	7640	7114	79.37	7050	78.66
SE3564_S237	SE3564	763	Dfav	Light_2M	MIS7C	High	83.33333333	6375	5741	90.05	5332	4893	76.75	4893	76.75
SE3565_S97	SE3565	773	Dfav	Light_2M	MIS7C	High	83.33333333	10492	9649	91.97	8961	8317	79.27	8317	79.27
SE3566_S109	SE3566	770	Dfav	Light_2M	MIS7C	High	100	8875	8133	91.64	7531	6991	78.77	6991	78.77
SE3567_S121	SE3567	783	Dfav	Light_2M	MIS7C	High	83.33333333	9102	8370	91.96	7779	7344	80.69	7310	80.31
SE3568_S133	SE3568	782	Dfav	Light_2M	MIS7C	High	83.33333333	14528	13305	91.58	12595	11884	81.8	11742	80.82
SE3569_S145	SE3569	921	Dfav	Light_2M	MIS8C	None	0	19881	18560	93.36	17833	16942	85.22	16915	85.08
SE3570_S157	SE3570	913	Dfav	Light_2M	MIS8C	Low	33.33333333	13953	12919	92.59	12217	11549	82.77	11549	82.77
SE3571_S169	SE3571	902	Dfav	Light_2M	MIS8C	Low	33.33333333	24276	22677	93.41	21858	21104	86.93	21070	86.79
SE3572_S181	SE3572	901	Dfav	Light_2M	MIS8C	Low	33.33333333	19506	18134	92.97	17377	16822	86.24	16772	85.98
SE3573_S98	SE3573	927	Dfav	Light_2M	MIS8C	Low	42.85714286	40411	37752	93.42	36898	35777	88.53	35637	88.19
SE3574_S110	SE3574	925	Dfav	Light_2M	MIS8C	Low	33.33333333	31842	29820	93.65	28822	27552	86.53	27459	86.24
SE3575_S122	SE3575	904	Dfav	Light_2M	MIS8C	Low	40	25178	23318	92.61	22329	21350	84.8	21322	84.69
SE3576_S134	SE3576	908	Dfav	Light_2M	MIS8C	Low	50	2645	2317	87.6	2025	1830	69.19	1830	69.19
SE3576_S280	SE3576	908	Dfav	Light_2M	MIS8C	Low	50	35963	32077	89.19	31618	31017	86.25	30892	85.9
SE3577_S146	SE3577	914	Dfav	Light_2M	MIS8C	Low	50	12904	11959	92.68	11389	10817	83.83	10801	83.7
SE3578_S158	SE3578	909	Dfav	Light_2M	MIS8C	Low	50	4496	4063	90.37	3592	3329	74.04	3329	74.04
SE3578_S287	SE3578	909	Dfav	Light_2M	MIS8C	Low	50	55886	49643	88.83	48806	47870	85.66	47826	85.58
SE3579_S170	SE3579	926	Dfav	Light_2M	MIS8C	High	66.66666667	3127	2788	89.16	2357	2117	67.7	2117	67.7
SE3579_S292	SE3579	926	Dfav	Light_2M	MIS8C	High	66.66666667	44618	39999	89.65	39437	38807	86.98	38714	86.77
SE3580_S182	SE3580	935	Dfav	Light_2M	MIS8C	High	66.66666667	14468	12860	88.89	12108	11271	77.9	11271	77.9
SE3581_S272	SE3581	932	Dfav	Light_2M	MIS8C	High	80	79896	73456	91.94	72966	72275	90.46	72091	90.23
SE3581_S99	SE3581	932	Dfav	Light_2M	MIS8C	High	80	4011	3668	91.45	3329	3109	77.51	3109	77.51
SE3582_S111	SE3582	915	Dfav	Light_2M	MIS8C	High	83.33333333	33459	31360	93.73	30393	29228	87.35	29053	86.83
SE3583_S123	SE3583	933	Dfav	Light_2M	MIS8C	High	80	13140	11921	90.72	11127	10640	80.97	10640	80.97
SE3584_S135	SE3584	934	Dfav	Light_2M	MIS8C	High	80	26465	24613	93	23695	22639	85.54	22553	85.22
SE3585_S147	SE3585	919	Dfav	Light_2M	MIS8C	High	83.33333333	15153	14009	92.45	13361	12853	84.82	12853	84.82
SE3586_S159	SE3586	931	Dfav	Light_2M	MIS8C	High	100	4213	3450	81.89	3157	2967	70.42	2923	69.38
SE3586_S288	SE3586	931	Dfav	Light_2M	MIS8C	High	100	11254	9370	83.26	9179	8991	79.89	8895	79.04
SE3587_S171	SE3587	917	Dfav	Light_2M	MIS8C	High	85.71428571	2958	2634	89.05	2348	2174	73.5	2174	73.5
SE3587_S293	SE3587	917	Dfav	Light_2M	MIS8C	High	85.71428571	35564	31992	89.96	31698	31092	87.43	31013	87.2
SE3588_S183	SE3588	624	D_fav	Tile_ctrl	ctrl	None	0	2513	2237	89.02	2181	2163	86.07	2163	86.07
SE3588_S295	SE3588	624	D_fav	Tile_ctrl	ctrl	None	0	17302	15452	89.31	15270	15113	87.35	15113	87.35
SE3589_S100	SE3589	786	D_fav	Tile_ctrl	ctrl	None	0	2916	2295	78.7	2255	2240	76.82	2240	76.82
SE3589_S273	SE3589	786	D_fav	Tile_ctrl	ctrl	None	0	14986	12524	83.57	12406	12333	82.3	12333	82.3
SE3590_S112	SE3590	906	D_fav	Tile_ctrl	ctrl	None	0	6902	6348	91.97	5761	5422	78.56	5422	78.56
SE3591_S124	SE3591	1067	Psin	Light_2M	MIS5C	None	0	30236	28496	94.25	27292	26238	86.78	26037	86.11
SE3592_S136	SE3592	1051	Psin	Light_2M	MIS5C	None	0	40838	38075	93.23	36494	33945	83.12	31134	76.24
SE3593_S148	SE3593	1060	Psin	Light_2M	MIS5C	Low	33.33333333	35494	33447	94.23	31912	30612	86.25	30001	84.52
SE3594_S160	SE3594	1057	Psin	Light_2M	MIS5C	Low	33.33333333	34264	32137	93.79	31258	30214	88.18	30168	88.05
SE3595_S172	SE3595	1055	Psin	Light_2M	MIS5C	Low	33.33333333	41074	38559	93.88	37499	35706	86.93	34039	82.87
SE3596_S184	SE3596	1065	Psin	Light_2M	MIS5C	Low	33.33333333	29945	27995	93.49	27123	26169	87.39	26145	87.31
SE3597_S101	SE3597	1076	Psin	Light_2M	MIS5C	Low	20	61729	57830	93.68	56546	54927	88.98	53900	87.32
SE3598_S113	SE3598	1061	Psin	Light_2M	MIS5C	Low	33.33333333	14994	14004	93.4	13432	12905	86.07	12833	85.59
SE3599_S125	SE3599	1066	Psin	Light_2M	MIS5C	Low	16.66666667	12166	11256	92.52	10776	10296	84.63	10296	84.63
SE3600_S137	SE3600	1075	Psin	Light_2M	MIS5C	Low	16.66666667	24743	23058	93.19	22218	21358	86.32	21296	86.07
SE3601_S149	SE3601	1071	Psin	Light_2M	MIS5C	Low	16.66666667	30019	27969	93.17	27313	26549	88.44	25969	86.51
SE3602_S161	SE3602	1045	Psin	Light_2M	MIS5C	High	66.66666667	47332	44135	93.25	42694	41094	86.82	40610	85.8
SE3603_S173	SE3603	1049	Psin	Light_2M	MIS5C	High	66.66666667	71828	67269	93.65	65875	64260	89.46	63909	88.98
SE3604_S185	SE3604	1052	Psin	Light_2M	MIS5C	High	66.66666667	70678	65923	93.27	64260	62447	88.35	61851	87.51
SE3605_S102	SE3605	1059	Psin	Light_2M	MIS5C	High	83.33333333	58639	54835	93.51	53389	51794	88.33	50968	86.92
SE3606_S114	SE3606	1022	Psin	Light_1M	MIS5C	None	0	50683	47243	93.21	46235	45118	89.02	44831	88.45
SE3607_S126	SE3607	1053	Psin	Light_2M	MIS5C	High	66.66666667	85481	79989	93.58	77786	75103	87.86	73376	85.84
SE3608_S138	SE3608	1054	Psin	Light_2M	MIS5C	High	100	37175	34538	92.91	32945	30799	82.85	28571	76.86
SE3609_S150	SE3609	1079	Psin	Light_2M	MIS5C	High	100	34320	32181	93.77	30773	29421	85.73	28290	82.43
SE3610_S162	SE3610	1073	Psin	Light_2M	MIS5C	High	83.33333333	57101	53334	93.4	51609	49697	87.03	48344	84.66
SE3611_S174	SE3611	1195	Psin	Light_2M	MIS7C	None	0	57526	53941	93.77	51726	48866	84.95	48053	83.53
SE3612_S186	SE3612	1190	Psin	Light_2M	MIS7C	None	0	45669	42911	93.96	41790	40172	87.96	40050	87.7
SE3613_S103	SE3613	1211	Psin	Light_2M	MIS7C	Low	16.66666667	7281	6744	92.62	6276	5878	80.73	5878	80.73
SE3614_S115	SE3614	1210	Psin	Light_2M	MIS7C	Low	33.33333333	9907	9194	92.8	8714	8006	80.81	7980	80.55
SE3615_S127	SE3615	1208	Psin	Light_2M	MIS7C	Low	33.33333333	9376	8723	93.04	8147	7470	79.67	7380	78.71
SE3616_S139	SE3616	1213	Psin	Light_2M	MIS7C	Low	50	42132	39407	93.53	37596	35379	83.97	35005	83.08
SE3617_S151	SE3617	1197	Psin	Light_2M	MIS7C	Low	50	50903	47661	93.63	45224	42486	83.46	41627	81.78
SE3618_S163	SE3618	1191	Psin	Light_2M	MIS7C	Low	40	41289	38573	93.42	37144	35824	86.76	35648	86.34
SE3619_S175	SE3619	1215	Psin	Light_2M	MIS7C	High	83.33333333	38767	36508	94.17	34932	32933	84.95	32486	83.8
SE3620_S187	SE3620	1216	Psin	Light_2M	MIS7C	High	83.33333333	46664	43564	93.36	42098	40453	86.69	39891	85.49
SE3621_S104	SE3621	1342	Psin	Light_2M	MIS8C	Low	50	9138	8466	92.65	7982	7450	81.53	7439	81.41
SE3622_S116	SE3622	1347	Psin	Light_2M	MIS8C	Low	50	99217	93067	93.8	91462	89141	89.84	88607	89.31
SE3623_S128	SE3623	1359	Psin	Light_2M	MIS8C	Low	50	3163	2817	89.06	2480	2293	72.49	2293	72.49
SE3623_S276	SE3623	1359	Psin	Light_2M	MIS8C	Low	50	45599	41298	90.57	40974	40452	88.71	40330	88.44
SE3624_S140	SE3624	1343	Psin	Light_2M	MIS8C	High	100	3025	2536	83.83	2431	2346	77.55	2346	77.55
SE3624_S281	SE3624	1343	Psin	Light_2M	MIS8C	High	100	11420	9631	84.33	9366	9308	81.51	9308	81.51
SE3625_S152	SE3625	1345	Psin	Light_2M	MIS8C	High	100	13321	12227	91.79	11657	10978	82.41	10939	82.12
SE3626_S164	SE3626	1340	Psin	Light_2M	MIS8C	High	100	4319	3749	86.8	3454	3205	74.21	3205	74.21
SE3626_S289	SE3626	1340	Psin	Light_2M	MIS8C	High	100	46392	40317	86.91	39840	39326	84.77	39179	84.45
SE3627_S176	SE3627	1352	Psin	Light_2M	MIS8C	High	100	50202	46957	93.54	45385	43705	87.06	43284	86.22
SE3628_S188	SE3628	1351	Psin	Light_2M	MIS8C	High	100	42113	38884	92.33	37714	36508	86.69	36334	86.28
SE3629_S105	SE3629	1346	Psin	Light_2M	MIS8C	High	100	22296	20623	92.5	19669	18806	84.35	18666	83.72
SE3630_S117	SE3630	1353	Psin	Light_2M	MIS8C	High	100	25607	23636	92.3	22836	22131	86.43	22038	86.06
SE3631_S129	SE3631	1365	Psin	Light_2M	MIS8C	High	100	31008	28750	92.72	27759	26657	85.97	26510	85.49
SE3632_S141	SE3632	1354	Psin	Light_2M	MIS8C	High	100	39792	36707	92.25	35260	33791	84.92	33372	83.87
SE3633_S153	SE3633	1214	Psin	Light_2M	MIS7C	High	83.33333333	26341	24380	92.56	22939	21295	80.84	21105	80.12
SE3634_S165	SE3634	1221	Psin	Light_2M	MIS7C	High	85.71428571	36708	33983	92.58	31869	29533	80.45	29186	79.51
SE3635_S177	SE3635	1217	Psin	Light_2M	MIS7C	High	83.33333333	15245	14063	92.25	13314	12516	82.1	12448	81.65
SE3636_S189	SE3636	1222	Psin	Light_2M	MIS7C	High	83.33333333	31249	28948	92.64	27450	25794	82.54	25344	81.1
SE3637_S106	SE3637	1203	Psin	Light_2M	MIS7C	High	100	11367	10357	91.11	9793	9172	80.69	9149	80.49
SE3638_S118	SE3638	1192	Psin	Light_2M	MIS7C	High	100	7486	6894	92.09	6599	6173	82.46	6143	82.06
SE3639_S130	SE3639	1207	Psin	Light_2M	MIS7C	High	100	3162	2636	83.36	2539	2421	76.57	2421	76.57
SE3639_S277	SE3639	1207	Psin	Light_2M	MIS7C	High	100	9768	8446	86.47	8355	8309	85.06	8276	84.73
SE3639_S361	SE3639	1207	Psin	Light_2M	MIS7C	High	100	12303	10058	81.75	9957	9880	80.31	9837	79.96
SE3640_S142	SE3640	1349	Psin	Light_2M	MIS8C	Low	33.33333333	40960	38170	93.19	37416	36133	88.22	36072	88.07
SE3641_S154	SE3641	1363	Psin	Light_2M	MIS8C	Low	33.33333333	2516	2146	85.29	1980	1870	74.32	1870	74.32
SE3641_S284	SE3641	1363	Psin	Light_2M	MIS8C	Low	33.33333333	23649	20903	88.39	20649	20434	86.41	20406	86.29
SE3642_S166	SE3642	1360	Psin	Light_2M	MIS8C	Low	33.33333333	7285	6587	90.42	6150	5810	79.75	5810	79.75
SE3643_S178	SE3643	1362	Psin	Tile_ctrl	ctrl	Low	20	3211	2835	88.29	2803	2780	86.58	2780	86.58
SE3644_S190	SE3644	1062	Psin	Tile_ctrl	ctrl	None	0	2820	2581	91.52	2521	2489	88.26	2489	88.26
SE3645_S107	SE3645	1212	Psin	Tile_ctrl	ctrl	None	0	3272	2197	67.15	2147	2077	63.48	2077	63.48
SE3646_S119	SE3646	1976	Plob	Rubble	Rubble	None	0	2281	2043	89.57	1659	1350	59.18	1350	59.18
SE3646_S275	SE3646	1976	Plob	Rubble	Rubble	None	0	22544	20466	90.78	20034	19385	85.99	19233	85.31
SE3647_S131	SE3647	1975	Plob	Rubble	Rubble	None	0	3289	3058	92.98	2574	2185	66.43	2185	66.43
SE3647_S278	SE3647	1975	Plob	Rubble	Rubble	None	0	23376	21584	92.33	21121	20123	86.08	20058	85.81
SE3648_S143	SE3648	1996	Plob	Rubble	Rubble	Low	33.33333333	1977	1726	87.3	1384	1094	55.34	1094	55.34
SE3648_S282	SE3648	1996	Plob	Rubble	Rubble	Low	33.33333333	16364	14275	87.23	13924	13394	81.85	13367	81.69
SE3649_S155	SE3649	1987	Plob	Rubble	Rubble	Low	20	1886	1615	85.63	1272	1059	56.15	1059	56.15
SE3649_S285	SE3649	1987	Plob	Rubble	Rubble	Low	20	11008	9785	88.89	9507	9124	82.89	9109	82.75
SE3650_S167	SE3650	1973	Plob	Rubble	Rubble	Low	50	2707	2351	86.85	1879	1585	58.55	1585	58.55
SE3650_S290	SE3650	1973	Plob	Rubble	Rubble	Low	50	14874	12944	87.02	12454	11908	80.06	11897	79.99
SE3651_S179	SE3651	2000	Plob	Rubble	Rubble	Low	40	2456	2206	89.82	1926	1602	65.23	1602	65.23
SE3651_S294	SE3651	2000	Plob	Rubble	Rubble	Low	40	14886	13050	87.67	12736	12404	83.33	12404	83.33
SE3652_S238	SE3652	1981	Plob	Rubble	Rubble	High	100	4957	4602	92.84	3752	2955	59.61	2955	59.61
SE3652_S314	SE3652	1981	Plob	Rubble	Rubble	High	100	11820	10844	91.74	9550	8397	71.04	8358	70.71
SE3653_S108	SE3653	1982	Plob	Rubble	Rubble	High	100	3961	3273	82.63	2892	2465	62.23	2465	62.23
SE3653_S274	SE3653	1982	Plob	Rubble	Rubble	High	100	13395	11493	85.8	11100	10559	78.83	10557	78.81
SE3654_S120	SE3654	1983	Plob	Rubble	Rubble	High	100	10777	9777	90.72	8906	8064	74.83	7953	73.8
SE3655_S132	SE3655	1984	Plob	Rubble	Rubble	High	100	3622	3299	91.08	2715	2333	64.41	2333	64.41
SE3655_S279	SE3655	1984	Plob	Rubble	Rubble	High	100	39539	35790	90.52	34875	33676	85.17	33665	85.14
SE3656_S144	SE3656	1985	Plob	Rubble	Rubble	High	100	3626	3239	89.33	2617	2143	59.1	2143	59.1
SE3656_S283	SE3656	1985	Plob	Rubble	Rubble	High	100	39295	35324	89.89	34432	32958	83.87	32782	83.43
SE3657_S156	SE3657	1988	Plob	Rubble	Rubble	High	100	3709	3183	85.82	2574	2097	56.54	2097	56.54
SE3657_S286	SE3657	1988	Plob	Rubble	Rubble	High	100	27612	24179	87.57	23337	22166	80.28	22160	80.25
SE3658_S168	SE3658	1990	Plob	Rubble	Rubble	High	100	3584	3135	87.47	2543	2138	59.65	2138	59.65
SE3658_S291	SE3658	1990	Plob	Rubble	Rubble	High	100	29306	25622	87.43	24839	23663	80.74	23637	80.66
SE3659_S180	SE3659	1991	Plob	Rubble	Rubble	High	100	18929	16945	89.52	15584	13965	73.78	13963	73.77
SE3660_S239	SE3660	1993	Plob	Rubble	Rubble	High	100	5995	3431	57.23	3182	3036	50.64	3011	50.23
SE3660_S315	SE3660	1993	Plob	Rubble	Rubble	High	100	7784	5928	76.16	5470	5358	68.83	5319	68.33
SE3660_S365	SE3660	1993	Plob	Rubble	Rubble	High	100	1127	576	51.11	452	414	36.73	414	36.73
SE3661_S193	SE3661	1995	Plob	Rubble	Rubble	High	100	5599	4643	82.93	4110	3453	61.67	3453	61.67
SE3661_S296	SE3661	1995	Plob	Rubble	Rubble	High	100	10640	8782	82.54	8002	7333	68.92	7333	68.92
SE3662_S199	SE3662	1998	Plob	Rubble_ctrl	ctrl	None	0	4821	4492	93.18	4466	4421	91.7	4421	91.7
SE3663_S205	SE3663	1974	Plob	Rubble_ctrl	ctrl	None	0	15131	14046	92.83	13924	13819	91.33	13819	91.33
SE3664_S211	SE3664	2551	Lcor	Rubble	Rubble	Low	33.3333333	60057	54077	90.04	51026	47364	78.87	46951	78.18
SE3665_S216	SE3665	2555	Lcor	Rubble	Rubble	None	0	6507	5708	87.72	5305	4784	73.52	4771	73.32
SE3665_S305	SE3665	2555	Lcor	Rubble	Rubble	None	0	11056	9805	88.68	9438	8902	80.52	8868	80.21
SE3666_S221	SE3666	2534	Lcor	Rubble	Rubble	Low	16.66666667	5723	5077	88.71	4547	4165	72.78	4130	72.16
SE3666_S307	SE3666	2534	Lcor	Rubble	Rubble	Low	16.66666667	14248	12936	90.79	12446	11818	82.94	11760	82.54
SE3667_S226	SE3667	2542	Lcor	Rubble	Rubble	Low	16.66666667	8770	5155	58.78	5064	4951	56.45	4951	56.45
SE3667_S309	SE3667	2542	Lcor	Rubble	Rubble	Low	16.66666667	13420	9662	72	9462	9384	69.93	9384	69.93
SE3668_S231	SE3668	2545	Lcor	Rubble	Rubble	Low	16.66666667	6954	4297	61.79	4161	4086	58.76	4077	58.63
SE3668_S312	SE3668	2545	Lcor	Rubble	Rubble	Low	16.66666667	11213	8288	73.91	8171	8041	71.71	8029	71.6
SE3669_S194	SE3669	2558	Lcor	Rubble	Rubble	Low	16.66666667	7297	5154	70.63	5018	4763	65.27	4763	65.27
SE3669_S297	SE3669	2558	Lcor	Rubble	Rubble	Low	16.66666667	12091	9787	80.94	9644	9372	77.51	9372	77.51
SE3670_S200	SE3670	2567	Lcor	Rubble	Rubble	Low	16.66666667	7127	5905	82.85	5247	4642	65.13	4642	65.13
SE3670_S299	SE3670	2567	Lcor	Rubble	Rubble	Low	16.66666667	14772	12057	81.62	11149	9806	66.38	9408	63.69
SE3671_S206	SE3671	2564	Lcor	Rubble	Rubble	Low	16.66666667	7286	5421	74.4	5210	4936	67.75	4936	67.75
SE3671_S302	SE3671	2564	Lcor	Rubble	Rubble	Low	16.66666667	9438	7815	82.8	7657	7443	78.86	7394	78.34
SE3671_S362	SE3671	2564	Lcor	Rubble	Rubble	Low	16.66666667	2257	1685	74.66	1450	1249	55.34	1249	55.34
SE3672_S212	SE3672	2533	Lcor	Rubble	Rubble	Low	33.33333333	7502	5141	68.53	4878	4528	60.36	4528	60.36
SE3673_S217	SE3673	2537	Lcor	Rubble	Rubble	Low	33.33333333	7100	5501	77.48	4981	4420	62.25	4420	62.25
SE3673_S306	SE3673	2537	Lcor	Rubble	Rubble	Low	33.33333333	9925	8128	81.89	7563	6918	69.7	6908	69.6
SE3673_S363	SE3673	2537	Lcor	Rubble	Rubble	Low	33.33333333	16241	12256	75.46	11761	11062	68.11	11062	68.11
SE3674_S222	SE3674	2548	Lcor	Rubble	Rubble	Low	33.33333333	42	20	47.62	2	0	0	0	0
SE3674_S308	SE3674	2548	Lcor	Rubble	Rubble	Low	33.33333333	9469	4685	49.48	4617	4572	48.28	4572	48.28
SE3674_S364	SE3674	2548	Lcor	Rubble	Rubble	Low	33.33333333	10149	2529	24.92	2492	2457	24.21	2457	24.21
SE3675_S227	SE3675	2540	Lcor	Rubble	Rubble	Low	33.33333333	9300	5517	59.32	5230	4904	52.73	4891	52.59
SE3675_S310	SE3675	2540	Lcor	Rubble	Rubble	Low	33.33333333	12171	8449	69.42	8176	7929	65.15	7929	65.15
SE3676_S232	SE3676	2546	Lcor	Rubble	Rubble	High	66.66666667	7441	6480	87.09	5836	5260	70.69	5248	70.53
SE3677_S195	SE3677	2549	Lcor	Rubble	Rubble	High	66.66666667	5735	4220	73.58	3799	3401	59.3	3401	59.3
SE3677_S298	SE3677	2549	Lcor	Rubble	Rubble	High	66.66666667	12121	9676	79.83	9269	8925	73.63	8913	73.53
SE3678_S201	SE3678	2561	Lcor	Rubble	Rubble	High	66.66666667	9766	5077	51.99	4982	4832	49.48	4832	49.48
SE3678_S300	SE3678	2561	Lcor	Rubble	Rubble	High	66.66666667	11235	7492	66.68	7339	7183	63.93	7141	63.56
SE3679_S207	SE3679	2559	Lcor	Rubble	Rubble	High	80	6047	5121	84.69	4762	4340	71.77	4326	71.54
SE3679_S303	SE3679	2559	Lcor	Rubble	Rubble	High	80	11298	9899	87.62	9471	8989	79.56	8903	78.8
SE3680_S213	SE3680	2343	Lcor	Rubble	Rubble	Low	50	10157	4596	45.25	4520	4359	42.92	4359	42.92
SE3680_S304	SE3680	2343	Lcor	Rubble	Rubble	Low	50	12748	7395	58.01	7241	7074	55.49	7074	55.49
SE3681_S218	SE3681	2541	Lcor	Rubble	Rubble	High	83.33333333	10431	6277	60.18	5705	5060	48.51	5060	48.51
